,,Domestic,Commercial,Industrial,Street lighting,All groups,Exports of electricity to the mainland of China,Domestic,Commercial,Industrial,All groups
2016,Aug,4961,10057,1034,32,16084,464,962,948,128,2038
2016,Sep,4595,9381,989,32,14997,529,1040,960,132,2132
2016,Oct,3858,9281,980,35,14154,436,1013,929,132,2074
2016,Nov,2615,7955,861,35,11466,263,1233,982,141,2356
2016,Dec,2131,7681,875,35,10722,274,1430,970,87,2487
2017,Jan,2455,7211,843,34,10543,209,1632,1126,205,2963
2017,Feb,2205,6555,764,36,9559,184,1744,1076,134,2953
2017,Mar,2531,7492,861,33,10916,234,1490,987,132,2609
2017,Apr,2614,7939,868,29,11449,324,1546,1070,143,2759
2017,May,3128,9336,1021,32,13518,335,1216,1008,137,2361
2017,Jun,4685,10183,1073,28,15969,454,1089,1020,142,2251
2017,Jul,4847,10447,1024,31,16349,616,932,975,113,2020
2017,Aug,5574,10423,1055,31,17083,677,945,1000,115,2059
2017,Sep,5244,9953,1031,31,16259,612,981,986,120,2087
2017,Oct,3884,9256,910,36,14086,436,950,965,117,2033
2017,Nov,2731,7665,840,34,11270,252,1299,1029,138,2467
2017,Dec,2230,7432,906,33,10601,497,1496,919,73,2488
2018,Jan,2592,7503,821,38,10954,306,1748,1261,197,3206
2018,Feb,2615,6372,769,32,9787,191,1885,1165,137,3187
2018,Mar,2744,7556,820,31,11151,317,1435,999,126,2560
2018,Apr,2530,8152,880,31,11593,450,1477,1068,135,2680
2018,May,4067,10418,1113,29,15627,500,1202,1016,145,2363
2018,Jun,4288,10417,1051,28,15784,169,1006,1012,145,2162
2018,Jul,5370,10334,1013,30,16746,0,963,973,149,2084
2018,Aug,5040,10452,1058,31,16580,0,992,1001,155,2149
2018,Sep,4511,9621,948,29,15109,68,1034,993,147,2174
2018,Oct,3315,8790,874,35,13014,0,1035,964,134,2133
2018,Nov,2627,8164,864,33,11688,0,1273,1033,137,2443
2018,Dec,2266,7911,871,34,11082,0,1416,882,111,2409
2019,Jan,2472,7693,832,35,11032,0,1712,1255,178,3144
2019,Feb,2271,6783,743,31,9828,0,1686,1098,141,2925
2019,Mar,2551,8096,827,31,11505,0,1353,958,140,2451
2019,Apr,2862,8745,921,31,12560,0,1456,1051,156,2663
2019,May,3295,9660,962,29,13946,0,1179,986,153,2318
2019,Jun,4788,10308,1011,26,16133,0,1101,1007,167,2275
2019,Jul,5239,11034,1033,32,17337,0,905,957,167,2030
2019,Aug,5497,10497,1024,30,17048,0,948,952,167,2067
2019,Sep,4879,9827,917,32,15656,0,983,949,153,2085
2019,Oct,4016,9265,895,34,14209,0,996,888,145,2028
2019,Nov,2698,7712,835,31,11276,0,1255,928,154,2338
2019,Dec,2370,7543,813,34,10760,0,1446,837,105,2388
2020,Jan,2255,7646,832,32,10765,0,1624,1138,220,2982
2020,Feb,2472,6659,729,28,9889,0,1809,939,142,2890
2020,Mar,2701,7457,802,34,10993,0,1564,734,127,2425
2020,Apr,2699,6976,828,32,10535,0,1638,744,121,2504
2020,May,4646,9182,1047,27,14903,0,1359,702,112,2173
2020,Jun,5213,10289,1001,28,16531,0,1244,817,131,2191
2020,Jul,6124,10635,1014,28,17801,0,995,804,132,1930
2020,Aug,5466,9754,1047,29,16297,0,1043,641,130,1814
2020,Sep,5774,9063,916,28,15782,0,1131,628,134,1892
2020,Oct,4007,8234,805,30,13076,0,1251,780,128,2159
2020,Nov,2928,7762,834,32,11557,0,1437,872,141,2450
2020,Dec,2388,7384,816,32,10621,0,1590,812,134,2537
2021,Jan,3021,6909,852,31,10814,0,2077,765,140,2981
2021,Feb,2683,5989,745,28,9445,0,1942,769,134,2844
2021,Mar,2859,7814,806,29,11508,0,1436,766,123,2326
2021,Apr,2641,8386,898,24,11949,0,1505,864,136,2505
2021,May,5030,10230,1130,25,16415,0,1159,841,124,2124
2021,Jun,4613,10593,1075,24,16305,0,985,839,131,1955
2021,Jul,6021,10493,1039,25,17578,0,982,827,125,1934
2021,Aug,5453,10459,1033,26,16971,0,1042,864,135,2041
2021,Sep,5686,10246,1036,26,16993,0,1003,865,132,2000
2021,Oct,3850,9231,907,27,14016,0,891,830,127,1848
2021,Nov,3098,7615,760,29,11501,0,1449,914,142,2505
2021,Dec,2509,7666,881,27,11082,0,1546,922,146,2614
2022,Jan,2468,7534,841,30,10873,0,1922,978,154,3055
2022,Feb,2786,6265,761,29,9841,0,1926,791,132,2849
2022,Mar,3194,6920,764,26,10904,0,1732,568,122,2422
2022,Apr,3359,7494,873,21,11748,0,1739,583,145,2467
2022,May,3131,9210,1049,24,13414,0,1269,766,146,2181
2022,Jun,4682,10294,1044,22,16042,0,1058,759,91,1908
2022,Jul,5675,11194,1059,20,17948,0,923,948,200,2071
2022,Aug,5226,10754,1074,23,17076,0,964,858,146,1968
2022,Sep,5603,9895,935,24,16456,0,894,843,139,1877
2022,Oct,3685,9065,938,26,13713,0,932,819,135,1887
2022,Nov,2991,8108,894,24,12017,0,1208,880,142,2229
2022,Dec,2625,7618,853,24,11121,0,1418,914,151,2483
2023,Jan,2767,7350,843,27,10986,0,1829,963,151,2942
2023,Feb,2540,6692,751,22,10005,0,1732,972,157,2861
2023,Mar,2625,7955,862,5,11447,0,1373,872,141,2386
2023,Apr,2661,8282,924,36,11902,0,1461,935,144,2540
2023,May,3450,10012,1031,22,14515,0,1135,888,139,2163
2023,Jun,4921,10584,1050,20,16575,0,1036,890,149,2075
2023,Jul,5531,10988,1058,20,17596,0,879,847,144,1871
2023,Aug,5476,10855,1051,20,17402,0,859,865,153,1877
2023,Sep,5067,9620,955,21,15663,0,911,844,147,1902
2023,Oct,3768,9383,901,23,14076,0,915,840,140,1895
2023,Nov,2861,8243,838,22,11965,0,1166,899,155,2219
2023,Dec,2659,7884,862,22,11426,0,1350,920,123,2394
2024,Jan,2498,7861,892,26,11276,0,1665,997,199,2861
2024,Feb,2666,6993,799,21,10479,0,1724,1002,156,2882
2024,Mar,3030,7903,859,18,11810,0,1433,908,152,2493
2024,Apr,3411,9303,962,20,13695,0,1389,930,147,2466
2024,May,3315,9729,1027,21,14092,0,1088,876,143,2107
2024,Jun,4747,10067,1071,17,15902,0,1077,894,151,2122
2024,Jul,5265,11392,1106,19,17782,0,893,845,148,1886
