,2022,2023,2024
1,43.1635,40.9115,72.815
2,33.4048,52.5469,47.4799
3,48.4182,65.3083,88.3914
4,29.6515,63.807,85.0134
5,44.6649,71.8767,95.3351
6,59.6783,80.6971,105.094
7,59.3029,78.0697,99.0885
8,66.2466,84.6381,
9,70.9383,90.6434,
10,71.3137,95.3351,
11,78.445,102.466,
12,81.6354,119.169,
