Date,Vehicle Class,Fuel Type,Classified,Date
2020-06-01,Private Bus,Diesel,35,2020-06-01
2020-06-01,Private Car,Electric,2187,2020-06-01
2020-06-01,Private Car,Petrol,19190,2020-06-01
2020-06-01,Private Light Bus,Diesel,44,2020-06-01
2020-06-01,Private Light Bus,Electric,1,2020-06-01
2020-06-01,Private Light Bus,LPG,55,2020-06-01
2020-06-01,Public Bus,Diesel,330,2020-06-01
2020-06-01,Public Light Bus,Diesel,13,2020-06-01
2020-06-01,Public Light Bus,LPG,156,2020-06-01
2020-06-01,Taxi,LPG,489,2020-06-01
2020-07-01,HGV,Diesel,143,2020-07-01
2020-07-01,LGV,Diesel,3265,2020-07-01
2020-07-01,LGV,Electric,27,2020-07-01
2020-07-01,MGV,Diesel,889,2020-07-01
2020-07-01,MGV,Electric,1,2020-07-01
2020-07-01,Motorcycle,Electric,6,2020-07-01
2020-07-01,Motorcycle,Petrol,6250,2020-07-01
2020-07-01,Private Bus,Diesel,37,2020-07-01
2020-07-01,Private Car,Electric,2289,2020-07-01
2020-07-01,Private Car,Petrol,22174,2020-07-01
2020-07-01,Private Light Bus,Diesel,53,2020-07-01
2020-07-01,Private Light Bus,Electric,1,2020-07-01
2020-07-01,Private Light Bus,LPG,59,2020-07-01
2020-07-01,Public Bus,Diesel,407,2020-07-01
2020-07-01,Public Light Bus,Diesel,14,2020-07-01
2020-07-01,Public Light Bus,LPG,164,2020-07-01
2020-07-01,Taxi,LPG,568,2020-07-01
2020-08-01,HGV,Diesel,159,2020-08-01
2020-08-01,LGV,Diesel,3838,2020-08-01
2020-08-01,LGV,Electric,32,2020-08-01
2020-08-01,LGV,Petrol,1,2020-08-01
2020-08-01,MGV,Diesel,947,2020-08-01
2020-08-01,MGV,Electric,1,2020-08-01
2020-08-01,Motorcycle,Electric,6,2020-08-01
2020-08-01,Motorcycle,Petrol,7100,2020-08-01
2020-08-01,Private Bus,Diesel,38,2020-08-01
2020-08-01,Private Car,Electric,3276,2020-08-01
2020-08-01,Private Car,Petrol,24737,2020-08-01
2020-08-01,Private Light Bus,Diesel,59,2020-08-01
2020-08-01,Private Light Bus,Electric,1,2020-08-01
2020-08-01,Private Light Bus,LPG,66,2020-08-01
2020-08-01,Public Bus,Diesel,423,2020-08-01
2020-08-01,Public Light Bus,Diesel,14,2020-08-01
2020-08-01,Public Light Bus,LPG,169,2020-08-01
2020-08-01,Taxi,LPG,607,2020-08-01
2020-09-01,HGV,Diesel,189,2020-09-01
2020-09-01,LGV,Diesel,4041,2020-09-01
2020-09-01,LGV,Electric,35,2020-09-01
2020-09-01,LGV,Petrol,1,2020-09-01
2020-09-01,MGV,Diesel,1072,2020-09-01
2020-09-01,MGV,Electric,1,2020-09-01
2020-09-01,Motorcycle,Electric,10,2020-09-01
2020-09-01,Motorcycle,Petrol,8186,2020-09-01
2020-09-01,Private Bus,Diesel,40,2020-09-01
2020-09-01,Private Car,Electric,3722,2020-09-01
2020-09-01,Private Car,Petrol,28130,2020-09-01
2020-09-01,Private Light Bus,Diesel,72,2020-09-01
2020-09-01,Private Light Bus,Electric,1,2020-09-01
2020-09-01,Private Light Bus,LPG,73,2020-09-01
2020-09-01,Public Bus,Diesel,456,2020-09-01
2020-09-01,Public Light Bus,Diesel,14,2020-09-01
2020-09-01,Public Light Bus,LPG,177,2020-09-01
2020-09-01,Taxi,LPG,711,2020-09-01
2020-10-01,HGV,Diesel,215,2020-10-01
2020-10-01,LGV,Diesel,4297,2020-10-01
2020-10-01,LGV,Electric,35,2020-10-01
2020-10-01,LGV,Petrol,2,2020-10-01
2020-10-01,MGV,Diesel,1157,2020-10-01
2020-10-01,MGV,Electric,1,2020-10-01
2020-10-01,Motorcycle,Electric,12,2020-10-01
2020-10-01,Motorcycle,Petrol,9001,2020-10-01
2020-10-01,Private Bus,Diesel,43,2020-10-01
2020-10-01,Private Car,Electric,3815,2020-10-01
2020-10-01,Private Car,Petrol,31495,2020-10-01
2020-10-01,Private Light Bus,Diesel,76,2020-10-01
2020-10-01,Private Light Bus,Electric,1,2020-10-01
2020-10-01,Private Light Bus,LPG,81,2020-10-01
2020-10-01,Public Bus,Diesel,499,2020-10-01
2020-10-01,Public Light Bus,Diesel,14,2020-10-01
2020-10-01,Public Light Bus,LPG,187,2020-10-01
2020-10-01,Taxi,LPG,787,2020-10-01
2020-11-01,HGV,Diesel,246,2020-11-01
2020-11-01,LGV,Diesel,4642,2020-11-01
2020-11-01,LGV,Electric,36,2020-11-01
2020-11-01,LGV,Petrol,2,2020-11-01
2020-11-01,MGV,Diesel,1289,2020-11-01
2020-11-01,MGV,Electric,1,2020-11-01
2020-11-01,Motorcycle,Electric,24,2020-11-01
2020-11-01,Motorcycle,Petrol,9872,2020-11-01
2020-11-01,Private Bus,Diesel,44,2020-11-01
2020-11-01,Private Car,Electric,4591,2020-11-01
2020-11-01,Private Car,Petrol,34872,2020-11-01
2020-11-01,Private Light Bus,Diesel,79,2020-11-01
2020-11-01,Private Light Bus,Electric,1,2020-11-01
2020-11-01,Private Light Bus,LPG,87,2020-11-01
2020-11-01,Public Bus,Diesel,555,2020-11-01
2020-11-01,Public Light Bus,Diesel,14,2020-11-01
2020-11-01,Public Light Bus,LPG,199,2020-11-01
2020-11-01,Taxi,LPG,865,2020-11-01
2020-12-01,HGV,Diesel,283,2020-12-01
